;1. Gang Pinion -> 1. Gang Wheel\Powerloss;2. Gang Pinion -> 2. Gang Wheel\Powerloss;Konstant Pinion -> Konstant Wheel\Powerloss;1. Gang Pinion\Lifetime;1. Gang Wheel\Lifetime;2. Gang Pinion\Lifetime;2. Gang Wheel\Lifetime;Konstant Pinion\Lifetime;Konstant Wheel\Lifetime;1. Gang Pinion\contactDamage;1. Gang Wheel\contactDamage;2. Gang Pinion\contactDamage;2. Gang Wheel\contactDamage;Konstant Pinion\contactDamage;Konstant Wheel\contactDamage;1. Gang Pinion\Powerloss;1. Gang Wheel\Powerloss;2. Gang Pinion\Powerloss;2. Gang Wheel\Powerloss;Konstant Pinion\Powerloss;Konstant Wheel\Powerloss;Rolling Bearing 7\Lifetime;Rolling Bearing 8\Lifetime;Rolling Bearing 1\Lifetime;Rolling Bearing 2\Lifetime;Rolling Bearing 3\Lifetime;Rolling Bearing 4\Lifetime;Rolling Bearing 5\Lifetime;Rolling Bearing 6\Lifetime;Rolling Bearing 7\Powerloss;Rolling Bearing 8\Powerloss;Rolling Bearing 1\Powerloss;Rolling Bearing 2\Powerloss;Rolling Bearing 3\Powerloss;Rolling Bearing 4\Powerloss;Rolling Bearing 5\Powerloss;Rolling Bearing 6\Powerloss
81;101.036827;5.38802247e-07;74.495405;101825060.04956138;428513794.3163188;2.1600000000000003e+31;2.1600000000000003e+31;114907556.89707527;596082951.8197768;2121.28527;504.067787;0.0;0.0;1879.77193;362.365673;9.16611993;0.0;9.20414584;0.0;0.0;98.3339891;65985395.0;8983268.4;180484980.0;2716896790.0;16646275.9;15453176.8;inf;8.88023474e+26;1.87543227;2.7045938;24.2112526;19.8570569;6.78849943;7.11293845;2.84206388e-16;1.89179961
82;100.976501;1.04868003e-06;74.4314854;101825406.62220119;428515253.112523;2.1600000000000003e+31;2.1600000000000003e+31;114845106.57043688;595758991.9773301;2121.27805;504.066071;0.0;0.0;1880.79411;362.562719;8.90576309;0.0;8.98150811;0.0;0.0;97.1273869;48931314.5;9208636.82;188457493.0;2877067360.0;17413571.3;16160841.3;inf;9.05507059e+26;2.07491694;2.70013768;24.3904583;20.0373362;6.8080932;7.12597186;2.8181858e-16;1.90416456
83;100.915579;4.84797609e-07;74.3671708;101825452.70405951;428515447.7894577;2.1600000000000003e+31;2.1600000000000003e+31;114782408.74136913;595433744.3175083;2121.27709;504.065842;0.0;0.0;1881.82146;362.760764;8.64969256;0.0;8.76208213;0.0;0.0;95.9299564;51627757.9;9331532.44;196933271.0;3050089330.0;18228939.6;16912321.2;inf;9.35623566e+26;2.05865108;2.70583835;24.5732566;20.2212013;6.82803302;7.1392857;2.79430772e-16;1.91674543
84;100.853838;1.32973298e-06;74.3023056;101825769.51796469;428516779.9285121;2.1600000000000003e+31;2.1600000000000003e+31;114719955.417276;595109769.7740986;2121.27049;504.064275;0.0;0.0;1882.84592;362.958249;8.39788538;0.0;8.54585191;0.0;0.0;94.7416677;72026467.0;9348190.91;205954256.0;3237281510.0;19103123.1;17701597.8;inf;9.76536463e+26;1.87814747;2.72160923;24.7597169;20.4087346;6.84788258;7.1539331;2.77042964e-16;1.92954727
85;100.79171;7.6578943e-10;74.2372043;101825188.21396074;428514333.28765225;2.1600000000000003e+31;2.1600000000000003e+31;114656697.86130384;594781619.0307583;2121.2826;504.067153;0.0;0.0;1883.88471;363.158499;8.15031853;0.0;8.33280142;0.0;0.0;93.562491;98131156.1;9296603.02;215560963.0;3439996710.0;20056330.1;18509296.7;inf;1.01628452e+27;1.73504058;2.74380255;24.9499934;20.6000624;6.86676643;7.17220331;2.74655156e-16;1.94257538
86;100.728461;3.77644728e-08;74.1713267;101825643.27218743;428516249.4522357;2.1600000000000003e+31;2.1600000000000003e+31;114594390.34357212;594458399.3553693;2121.27312;504.064899;0.0;0.0;1884.90902;363.355956;7.90696891;0.0;8.12291457;0.0;0.0;92.3923964;131054108.0;9215348.36;225808228.0;3659986270.0;21073728.6;19367910.2;inf;1.05651898e+27;1.61979971;2.76887119;25.1440954;20.7952408;6.88599083;7.1907411;2.72267348e-16;1.95583508
87;100.664855;1.04724576e-06;74.1052332;101825076.37010367;428513862.32524514;2.1600000000000003e+31;2.1600000000000003e+31;114531175.1976547;594130471.2000082;2121.28493;504.067707;0.0;0.0;1885.94939;363.556509;7.66781335;0.0;7.9161752;0.0;0.0;91.231354;132779631.0;9357382.47;236742422.0;3898896390.0;22160123.1;20280858.5;inf;1.08729134e+27;1.63066601;2.77389159;25.3422265;20.9944238;6.90561456;7.20961332;2.6987954e-16;1.96933193
88;100.600306;5.42434499e-07;74.0385031;101825029.32855476;428513665.0994183;2.1600000000000003e+31;2.1600000000000003e+31;114468415.56740774;593804907.6243684;2121.28591;504.067939;0.0;0.0;1886.9834;363.755835;7.43282862;0.0;7.71256712;0.0;0.0;90.0793341;103347308.0;9720470.02;248427501.0;3962747300.0;23321812.3;21252953.1;inf;1.10778177e+27;1.76193983;2.76005041;25.5444237;21.1976848;6.92560938;7.22878358;2.67491732e-16;1.9830716
89;100.534951;4.63162009e-07;73.9712193;101825111.41128567;428514011.09484667;2.1600000000000003e+31;2.1600000000000003e+31;114405821.02749541;593480196.3640232;2121.2842;504.067532;0.0;0.0;1888.01582;363.954857;7.2019914;0.0;7.51207406;0.0;0.0;88.9363066;78640166.3;10065335.9;260927148.0;3961353890.0;24565169.4;22288889.7;inf;1.12816719e+27;1.9213245;2.74918112;25.750815;21.4051441;6.94599499;7.24827022;2.65103924e-16;1.99705982
90;100.530819;7.6448808e-07;76.0418109;101825449.82394215;428515435.03768796;2.1600000000000003e+31;2.1600000000000003e+31;113830753.24249403;590497031.220133;2121.27715;504.065857;0.0;0.0;1897.55399;365.793541;5.53376561;0.0;6.04671761;0.0;0.0;80.2858284;63301153.5;6445040.99;65672112.8;704048697.0;6099748.77;5726558.19;inf;4.35420339e+26;1.53628445;2.62107486;20.4624689;16.1265989;6.04572283;6.56711208;2.46389396e-16;1.32679478
